parameter,control_or_change,mean,median,sd,skew,auto,intercept,slope
intercept,control,0.042805704024882145,0.0811491845638379,0.4971231040391757,-0.6628226522268933,0.11202968824372406,4.202095944527558,0.008604877058537214
intercept,change,0.04280570402488207,0.08114918456386722,0.4971231040391756,-0.662822652226897,0.11202968824372588,2.129368671800286,0.008604877058537217
slope,control,0.042805704024882145,0.0811491845638379,0.4971231040391757,-0.6628226522268933,0.11202968824372406,4.202095944527558,0.008604877058537214
slope,change,0.04280570402488227,0.08114918456390363,0.49712310403917565,-0.662822652226901,0.1120296882437275,4.2020959445275725,0.011195786149446305
autocorrelation,control,0.042805704024882145,0.0811491845638379,0.4971231040391757,-0.6628226522268933,0.11202968824372406,4.202095944527558,0.008604877058537214
autocorrelation,change,0.042805704024882055,0.13355782025019103,0.6219276619104477,-0.5581143189391858,0.388327836142559,4.286442673672593,0.008558473293083702
standard_deviation,control,0.042805704024882145,0.0811491845638379,0.4971231040391757,-0.6628226522268933,0.11202968824372406,4.202095944527558,0.008604877058537214
standard_deviation,change,0.1284171120746463,0.3732908127531269,1.3536231924827384,-0.9074237656054904,0.08547590478417952,4.230211520909227,0.008589409136719382
skewness,control,0.042805704024882145,0.0811491845638379,0.4971231040391757,-0.6628226522268933,0.11202968824372406,4.202095944527558,0.008604877058537214
skewness,change,-0.04572082229375152,-0.1387008893286632,0.48146532937282416,0.8084887042713168,0.05932122413425694,4.169944823701935,0.008624469066607823
